Row,SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
599,A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2021,31/12/2021,4.584788
600,A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2021,31/12/2021,39.847203
601,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2021,31/12/2021,194.314616
602,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,4.007573
603,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2021,31/12/2021,1089.732395
604,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2021,31/12/2021,307.36073
605,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Refiners,Electronics and Lights,Refiners,Electronics and Lighting,Non-Transport,2021,31/12/2021,362.753311
606,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Air Compressors,Electronics and Lights,Compressed Air,Electronics and Lighting,Non-Transport,2021,31/12/2021,183.591326
607,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Fan Systems,Electronics and Lights,Fans,Electronics and Lighting,Non-Transport,2021,31/12/2021,1628.550233
608,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2021,31/12/2021,12.347398
609,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,16.695494
610,C14,Wood Product Manufacturing,Industrial,Electricity,Electricity,Burner (Direct Heat),Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,3.59004
611,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Refiners,Electronics and Lights,Refiners,Electronics and Lighting,Non-Transport,2021,31/12/2021,1102.535591
612,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Air Compressors,Electronics and Lights,Compressed Air,Electronics and Lighting,Non-Transport,2021,31/12/2021,32.98424
613,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Fan Systems,Electronics and Lights,Fans,Electronics and Lighting,Non-Transport,2021,31/12/2021,109.254331
614,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2021,31/12/2021,403.390184
615,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2021,31/12/2021,323.707108
616,C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2021,31/12/2021,21.133119
